plyrId,firstNm,lastNm,pos,tm
0151,Buffalo,Bills,TMWR,BUF
0152,Indianapolis,Colts,TMWR,IND
0153,Miami,Dolphins,TMWR,MIA
0154,New England,Patriots,TMWR,NEP
0155,New York,Jets,TMWR,NYJ
0156,Cincinnati,Bengals,TMWR,CIN
0157,Cleveland,Browns,TMWR,CLE
0158,Tennessee,Titans,TMWR,TEN
0159,Jacksonville,Jaguars,TMWR,JAC
0160,Pittsburgh,Steelers,TMWR,PIT
0161,Denver,Broncos,TMWR,DEN
0162,Kansas City,Chiefs,TMWR,KCC
0163,Oakland,Raiders,TMWR,OAK
0164,San Diego,Chargers,TMWR,SDC
0165,Seattle,Seahawks,TMWR,SEA
0166,Dallas,Cowboys,TMWR,DAL
0167,New York,Giants,TMWR,NYG
0168,Philadelphia,Eagles,TMWR,PHI
0169,Arizona,Cardinals,TMWR,ARI
0170,Washington,Redskins,TMWR,WAS
0171,Chicago,Bears,TMWR,CHI
0172,Detroit,Lions,TMWR,DET
0173,Green Bay,Packers,TMWR,GBP
0174,Minnesota,Vikings,TMWR,MIN
0175,Tampa Bay,Buccaneers,TMWR,TBB
0176,Atlanta,Falcons,TMWR,ATL
0177,Carolina,Panthers,TMWR,CAR
0178,Los Angeles,Rams,TMWR,RAM
0179,New Orleans,Saints,TMWR,NOS
0180,San Francisco,49ers,TMWR,SFO
0181,Baltimore,Ravens,TMWR,BAL
0182,Houston,Texans,TMWR,HOU
0201,Buffalo,Bills,TMRB,BUF
0202,Indianapolis,Colts,TMRB,IND
0203,Miami,Dolphins,TMRB,MIA
0204,New England,Patriots,TMRB,NEP
0205,New York,Jets,TMRB,NYJ
0206,Cincinnati,Bengals,TMRB,CIN
0207,Cleveland,Browns,TMRB,CLE
0208,Tennessee,Titans,TMRB,TEN
0209,Jacksonville,Jaguars,TMRB,JAC
0210,Pittsburgh,Steelers,TMRB,PIT
0211,Denver,Broncos,TMRB,DEN
0212,Kansas City,Chiefs,TMRB,KCC
0213,Oakland,Raiders,TMRB,OAK
0214,San Diego,Chargers,TMRB,SDC
0215,Seattle,Seahawks,TMRB,SEA
0216,Dallas,Cowboys,TMRB,DAL
0217,New York,Giants,TMRB,NYG
0218,Philadelphia,Eagles,TMRB,PHI
0219,Arizona,Cardinals,TMRB,ARI
0220,Washington,Redskins,TMRB,WAS
0221,Chicago,Bears,TMRB,CHI
0222,Detroit,Lions,TMRB,DET
0223,Green Bay,Packers,TMRB,GBP
0224,Minnesota,Vikings,TMRB,MIN
0225,Tampa Bay,Buccaneers,TMRB,TBB
0226,Atlanta,Falcons,TMRB,ATL
0227,Carolina,Panthers,TMRB,CAR
0228,Los Angeles,Rams,TMRB,RAM
0229,New Orleans,Saints,TMRB,NOS
0230,San Francisco,49ers,TMRB,SFO
0231,Baltimore,Ravens,TMRB,BAL
0232,Houston,Texans,TMRB,HOU
0251,Buffalo,Bills,TMDL,BUF
0252,Indianapolis,Colts,TMDL,IND
0253,Miami,Dolphins,TMDL,MIA
0254,New England,Patriots,TMDL,NEP
0255,New York,Jets,TMDL,NYJ
0256,Cincinnati,Bengals,TMDL,CIN
0257,Cleveland,Browns,TMDL,CLE
0258,Tennessee,Titans,TMDL,TEN
0259,Jacksonville,Jaguars,TMDL,JAC
0260,Pittsburgh,Steelers,TMDL,PIT
0261,Denver,Broncos,TMDL,DEN
0262,Kansas City,Chiefs,TMDL,KCC
0263,Oakland,Raiders,TMDL,OAK
0264,San Diego,Chargers,TMDL,SDC
0265,Seattle,Seahawks,TMDL,SEA
0266,Dallas,Cowboys,TMDL,DAL
0267,New York,Giants,TMDL,NYG
0268,Philadelphia,Eagles,TMDL,PHI
0269,Arizona,Cardinals,TMDL,ARI
0270,Washington,Redskins,TMDL,WAS
0271,Chicago,Bears,TMDL,CHI
0272,Detroit,Lions,TMDL,DET
0273,Green Bay,Packers,TMDL,GBP
0274,Minnesota,Vikings,TMDL,MIN
0275,Tampa Bay,Buccaneers,TMDL,TBB
0276,Atlanta,Falcons,TMDL,ATL
